Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-1j1y,branch-78ow,branch-dh4q,Randomise questionnaire elements?,Question Key,Response
5,1716214327415,20/05/2024 14:12:07,1716214327040,3,20/05/2024 17:12:07,142922,38,questionnaire-4l7k,,37750109,BLIND,11119823,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1366x768,1366x607,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,23854
1,1716228860046,20/05/2024 18:14:20,1716228858097,3,20/05/2024 21:14:18,142922,38,questionnaire-4l7k,,37754258,BLIND,11121053,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1536x960,1536x799,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716228882574,20/05/2024 18:14:42,1716228880673,3,20/05/2024 21:14:40,142922,38,questionnaire-4l7k,,37754258,BLIND,11121053,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1536x960,1536x799,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p,נקבה
3,1716228882711,20/05/2024 18:14:42,1716228880674,3,20/05/2024 21:14:40,142922,38,questionnaire-4l7k,,37754258,BLIND,11121053,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1536x960,1536x799,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p-quantised,1
4,1716228882711,20/05/2024 18:14:42,1716228880674,3,20/05/2024 21:14:40,142922,38,questionnaire-4l7k,,37754258,BLIND,11121053,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1536x960,1536x799,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,consent_part2-1,כן
5,1716228882711,20/05/2024 18:14:42,1716228880674,3,20/05/2024 21:14:40,142922,38,questionnaire-4l7k,,37754258,BLIND,11121053,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1536x960,1536x799,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,END QUESTIONNAIRE,22577
1,1716235182349,20/05/2024 19:59:42,1716235181506,3,20/05/2024 22:59:41,142922,38,questionnaire-4l7k,,37755728,BLIND,11121565,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x720,1280x551,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,BEGIN QUESTIONNAIRE,
2,1716235195319,20/05/2024 19:59:55,1716235194517,3,20/05/2024 22:59:54,142922,38,questionnaire-4l7k,,37755728,BLIND,11121565,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x720,1280x551,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p,נקבה
3,1716235195427,20/05/2024 19:59:55,1716235194519,3,20/05/2024 22:59:54,142922,38,questionnaire-4l7k,,37755728,BLIND,11121565,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x720,1280x551,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,pronouns_of_p-quantised,1
4,1716235195427,20/05/2024 19:59:55,1716235194519,3,20/05/2024 22:59:54,142922,38,questionnaire-4l7k,,37755728,BLIND,11121565,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x720,1280x551,,,,Consent_ex2_part2,13,ACpass,accepted,agreed,condagree,No,consent_part2-1,כן
