Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,image
330,1704814522676,09/01/2024 15:35:22,1704814522957,2,09/01/2024 17:35:22,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,88,19,1,Screen 1,Zone3,response_slider_firstInteraction,1066.5999999999767,,,49,,0,1,0,,,,,2,task_Arab,CFD_M-200-N.png
331,1704814523798,09/01/2024 15:35:23,1704814524090,2,09/01/2024 17:35:24,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,88,19,1,Screen 1,Zone3,response_slider_endValue,2192.599999964237,,,42,,0,1,0,,,,,2,task_Arab,CFD_M-200-N.png
332,1704814523918,09/01/2024 15:35:23,1704814524091,2,09/01/2024 17:35:24,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,88,19,1,Screen 1,Zone4,continue_button,2192.599999964237,,,,,0,1,0,,,,,2,task_Arab,CFD_M-200-N.png
333,1704814524476,09/01/2024 15:35:24,1704814524771,2,09/01/2024 17:35:24,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,93,20,1,Screen 1,Zone3,response_slider_firstInteraction,683.1000000000349,,,47,,0,1,0,,,,,2,task_Arab,CFD_M-210-N.png
334,1704814525469,09/01/2024 15:35:25,1704814525770,2,09/01/2024 17:35:25,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,93,20,1,Screen 1,Zone3,response_slider_endValue,1672,,,35,,0,1,0,,,,,2,task_Arab,CFD_M-210-N.png
335,1704814525600,09/01/2024 15:35:25,1704814525770,2,09/01/2024 17:35:25,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,93,20,1,Screen 1,Zone4,continue_button,1672,,,,,0,1,0,,,,,2,task_Arab,CFD_M-210-N.png
336,1704814526858,09/01/2024 15:35:26,1704814527151,2,09/01/2024 17:35:27,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,158,21,1,Screen 1,Zone3,response_slider_firstInteraction,1383.5,,,47,,0,1,0,,,,,2,task_Arab,IFD_M-114-N.png
337,1704814527947,09/01/2024 15:35:27,1704814528242,2,09/01/2024 17:35:28,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,158,21,1,Screen 1,Zone3,response_slider_endValue,2464,,,37,,0,1,0,,,,,2,task_Arab,IFD_M-114-N.png
338,1704814528068,09/01/2024 15:35:28,1704814528243,2,09/01/2024 17:35:28,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,158,21,1,Screen 1,Zone4,continue_button,2464,,,,,0,1,0,,,,,2,task_Arab,IFD_M-114-N.png
339,1704814529757,09/01/2024 15:35:29,1704814529998,2,09/01/2024 17:35:29,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,162,22,1,Screen 1,Zone3,response_slider_firstInteraction,1766.7000000000116,,,46,,0,1,0,,,,,2,task_Arab,IFD_M-132-N.png
