Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-bgon,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: image,Manipulation: Spreadsheet
41,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,11,task,Screen 2,ywtl6p,1,info,50,15.1,0,15.1,15.1,0,15.1,1,15.1,0,0,,Slider,Slider,2,object-12,task,IFD_M-018-N.png,
42,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,11,task,Screen 2,ywtl6p,1,continue,,2151.4,2148.2,2151.4,2151.4,2148.2,2151.4,1,2151.4,0,0,,Click To Continue,Continue Button,3,object-18,task,IFD_M-018-N.png,
43,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,11,task,Screen 2,ywtl6p,1,response,53,749.7,2148.2,2151.9,749.7,2148.2,2151.9,1,749.7,1402.2,0,,Slider,Slider,2,object-12,task,IFD_M-018-N.png,
44,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,12,task,Screen 2,ywtl6p,1,info,50,16.6,0,16.6,16.6,0,16.6,1,16.6,0,0,,Slider,Slider,2,object-12,task,IFD_M-039-N.png,
45,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,12,task,Screen 2,ywtl6p,1,continue,,2059.3,2048.3,2059.3,2059.3,2048.3,2059.3,1,2059.3,0,0,,Click To Continue,Continue Button,3,object-18,task,IFD_M-039-N.png,
46,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,12,task,Screen 2,ywtl6p,1,response,79,616,2048.3,2065.1,616,2048.3,2065.1,1,616,1449.1,0,,Slider,Slider,2,object-12,task,IFD_M-039-N.png,
47,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,13,task,Screen 2,ywtl6p,1,info,50,16.8,0,16.8,16.8,0,16.8,1,16.8,0,0,,Slider,Slider,2,object-12,task,CFD_M-235-N.png,
48,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,13,task,Screen 2,ywtl6p,1,continue,,2283.6,2281.1,2283.6,2283.6,2281.1,2283.6,1,2283.6,0,0,,Click To Continue,Continue Button,3,object-18,task,CFD_M-235-N.png,
49,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,13,task,Screen 2,ywtl6p,1,response,30,949.1,2281.1,2284,949.1,2281.1,2284,1,949.1,1334.9,0,,Slider,Slider,2,object-12,task,CFD_M-235-N.png,
50,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,14,task,Screen 2,ywtl6p,1,info,50,12.9,0,12.9,12.9,0,12.9,1,12.9,0,0,,Slider,Slider,2,object-12,task,CFD_M-223-N.png,
